,0
Country Name,Ukraine
Country Code,UKR
Indicator Name,Arable land (% of land area)
Indicator Code,AG.LND.ARBL.ZS
1992,57.58522482
1993,57.5368948
1994,57.46267369
1995,57.45404332
1996,57.28661431
1997,57.1001985
1998,56.71528437
1999,56.39078277
2000,56.20781911
2001,56.16121515
2002,56.17426727
2003,56.06379673
2004,56.06724894
2005,56.01159861
2006,56.00317592
2007,55.9853624
2008,56.05537527
2009,56.06227991
2010,56.06055375
2011,56.09852931
2012,56.13132638
2013,56.57840226
2014,56.56924856
2015,56.57787982
2016,56.57960607
2017,56.57517694
2018,56.76216776
2019,
2020,
