Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,168625,,,,168625,,640252,,,0
H5,2018,2018,2018,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,62038,,,,62038,,261921,,,0
H5,2019,2019,2019,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,67686,,,,67686,,280446,,,0
H5,2020,2020,2020,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,77415,,,,77415,,338869,,,0
H4,2012,2012,2012,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,524486,,,,524486,,2069534,,,0
H4,2013,2013,2013,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,331191,,,,331191,,1223088,,,0
H4,2014,2014,2014,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,186922,,,,186922,,800812,,,0
H4,2015,2015,2015,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,201423,,,,201423,,821037,,,0
H4,2016,2016,2016,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,181577,,,,181577,,677521,,,0
H3,2007,2007,2007,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum.,8,Weight in kilograms,17547,,,,17547,,86968,,,6
H3,2008,2008,2008,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum.,8,Weight in kilograms,136135,,,,136135,,562449,,,6
H3,2009,2009,2009,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum.,8,Weight in kilograms,53500,,,,53500,,261947,,,0
H3,2010,2010,2010,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum.,8,Weight in kilograms,88889,,,,88889,,297725,,,0
H3,2011,2011,2011,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum.,8,Weight in kilograms,399342,,,,399342,,1467409,,,0
H2,2002,2002,2002,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum.,8,Weight in kilograms,12400,,,,12400,,31223,,,0
H2,2003,2003,2003,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum.,8,Weight in kilograms,20100,,,,20100,,38539,,,0
H2,2004,2004,2004,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum.,8,Weight in kilograms,19000,,,,19000,,45705,,,0
H2,2005,2005,2005,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum.,8,Weight in kilograms,15300,,,,15300,,37814,,,0
H2,2006,2006,2006,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum.,8,Weight in kilograms,32000,,,,32000,,106264,,,0
H1,2000,2000,2000,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,123536,,,,123536,,28171,,,6
H1,2001,2001,2001,4,0,2,Export,97,EU-28,EU2,804,Ukraine,UKR,,,,,,,,1007,Grain sorghum,8,Weight in kilograms,1900,,,,1900,,26741,,,0
